,ID,text,labels
7567,1344664306693115905t," Actually , you ’ re completely wrong . This has nothing to do w / “ planning ” , it has everything to do w the liberal media narrative of “ a COVIDvaccine being needed ” . The fact is that many ppl . do not want & simply won ’ t get vaccinated . Nice try , but stop pushing your bullshit agenda .",mandatory
7792,1333214633574985729t,    Yes that is what they're currently doing . That's why there are no vaccines yet . They would never release a vaccine to the public without extensive testing to make sure its safe and effective .,rushed
9327,1244327246514577408t,Brilliant . What did they test it on ? Rats ? Cats ? Dogs ? Monkeys ? Maybe other #bears ! I'm alright thanks - I'll pass . The pain they suffer over years of torturous captivity is incomprehensible to most . #ChineseMedicine #CoronaUpdate #Virus #vaccine,rushed
8801,1336610671761485824t,  Am I the only one worried that Pfizer ’ s own label says : It is unknown whether COVID - 19 mRNA Vaccine BNT 162b2 has an impact on fertility Animal reproductive toxicity tests have not been completed No drug interaction studies have been performed . And only 2 months safety data ?,rushed side-effect
324,1219297861726171145t,  There is ZERO evidence for that and BILLIONS of people who were vaccinated provide evidence of one thing : Vaccines cause adults .,side-effect
8024,1331882067647471616t,  That's why we shouldn't have a covid vaccine . The people who already died deserve better .,side-effect
6384,1344573857911472128t,"  No I'm certainly not against any therapy that can bring this disaster to a swift end . But the evidence is that we could be making yet more mistakes in our panic to roll out vaccines only approved on emergency terms . The testing has been rushed , we are now playing Russian roulette",rushed
2330,1313591763903410177t," QAnon is the low hanging fruit ; next will be ANY alt - media that discusses , analyzes etc . the efficacy / safety of a rushed #Covid_19 "" vaccine . "" That House vote by 146 GOP wimps against "" conspiracy theories "" was the All Clear sign for Big Tech and Big Pharma to move ahead .",pharma rushed
6530,1363915002298695684t," So ask yourself ! ! 96 % of deaths were over 70 years old and most with underline health issues , still sad . Why do you think they want EVERYONE to get the vaccine ? ? ?",unnecessary
8569,1279070685516705793t,"Bombshell as Fauci admits future COVID vaccines won ’ t work , blames “ anti - vaxxers ” for failures of Big Pharma - DC Clothesline ",ineffective
2568,1366548616005967875t,"Well , there ya go . Out of all the reasons : "" Johnson & Johnson's newly - approved Covid vaccine met with pushback as Catholic diocese condemns it for ‘ ties to abortion cells ’ "" ",none
4574,1354123886972043276t,"Pfizer previously stated that it takes minimum 5 years to test , create and release a proper vaccine . The vaccine now is killing ppl as well . Everything seems a bit weirddddd",rushed side-effect
986,1339543386836008961t," Hospital worker with no prior allergies in intensive care with severe reaction after Pfizer Covid vaccine A healthcare worker was taken to intensive care at Bartlett Regional Hospital in Juneau , Alaska , for an allergic reaction she suffered after being … ",side-effect
1252,1360533747251228674t,      THE PEOPLE PUSHING THIS DEADLY COVID VACCINE WILL BE JAILED FOR CRIMES AGAINST HUMANITY . The truth ALWAYS triumphs in the end !,side-effect
6413,1297302986960416768t,"& while it will probably cure you of the Corona , ( going on the hunch that this was virus was created by the Dems and Chinese , you have to figure they already have all the vaccines ready ) it will almost certainly put some technology in your body . ( 4 )",conspiracy ingredients
2343,1378015960997752837t,"According to a state law passed by Republicans , residents of Michigan receiving the Johnson & Johnson C0VID vaccine must be told it was developed using a stem cell line originating from an aborted human fetus . ",ingredients
1267,1374148014902804481t,"    You said yes it should make me feel like a bad person and that I personally could cause people to die ! I am not clinically vulnerable , therefore don ’ t need vaccine ! So I ’ m vilified for daring to have a choice of what goes in my own body ? !",unnecessary
9000,1335916507289841664t, The WHO faked a pandemic in 2009 to make billions from selling vaccines . There are members invested in pharmaceutical companies . Moderna had first clinical batch ready in January of this year . ,pharma
6193,1430300599849992192t,"Planned well in advance , as everything else . Immediate mandates . The same day . "" FDA Approval of Pfizer Vaccine Sparks Wave of Mandates : Pentagon , New York City Public Schools Announce Requirements "" ",mandatory
6591,1451745654926032900t,"#VAERS 63y ♀ ️ #Pfizer #Covidvaccine #neurology #encephalitis "" The patient was hospitalized for the events "" fever then inability to walk and confused , disorientation after 5 days from booster Pfizer vaccine , Bickerstaff brainstem encephalitis and fatigue "" "" ",side-effect
6318,1350609402894675971t,   People who have already had covid are definitely having more significant side effects to the vaccine compared to those who haven ’ t,side-effect
2708,1417719372479700994t,Anyone who takes that rubbish doesn't love themself . Will  take that useless rubbish of a vaccine or will he take Pfizer ? ,ineffective
2030,1375038081192103941t,This vaccine wait is not for me oooo 😅 😅 😅 - exhausted,none
9146,1254621868473999361t,   Again ! ! ! You take the Vaccine . Your safe ? I don ’ t I ’ m what ever,none
9365,1337168217828184068t,"Ex VP of pfizer says the idea of vaccinating healthy people is destructive , absolutely non sense ! But who is listening to the truth here ? Masses r just listening to whatever media is telling them . Blind faith is a curse too !",unnecessary
3214,1341083289881231360t," Might be true but I go back to HCQ as an effective treatment against the Corona virus ; & the NWO decided we need a vaccine rather than use a drug that has already been proven effective . This tells me the fat cats , the NWO , will get even richer from people who are gullible !",pharma unnecessary
5095,1364688308186488832t,"#Germany ➡ ️ no one wants th #AstraZeneca - #vaccine , bc it's less #effective and leads to severe #sideeffects ... ( only 106586 of the 736800 doses delivered have been administered ) ",ineffective side-effect
4524,1375938799247765515t,"She has been trying to speak out : writing letters to government , speaking to Unison . She ’ s been questioning everything that ’ s been going on for a long time : “ Vaccine rollout , vaccine injury . Realising it ’ s an experimental agent . It ’ s going to keep going , ” ... continue thread ...",rushed side-effect
3080,1336833685102923776t, According to Pfizer “ it might be possible for a person who got vaccinated to transmit the virus to others even if they don't get sick themselves . ” What ’ s the point ? I will not get vaccinated since I am not a member of a vulnerable population . I ’ ll take my chances with the virus .,ineffective unnecessary
3808,1327548296391483392t,"WHO worried young people won't want Covid vaccine I think you will find that it is not just young people who will resist . Trust in the government and scientific advisers is low and we do not know the long term detrimental effects , if any of the vaccine . ",ineffective
2228,1357091674627923968t, I don't see how this is a desirable vaccine choice for Nigeria . Certainly the Russians can mass produce Sputnik V to the 16m level in a short time frame . Covax hasn't proved to be any good compared to the 91 % + levels we are seeing from Western and Russian vaccines,country ineffective
3206,1326598342449782785t,"So can someone tell me why we need this scam vaccine when Johnson and Donald Trump are supposed to have had Covid - 19 , so why can ’ t people get exactly the same treatment as they did as I remember Boris made a big deal about the nhs saving his life but we have to save the nhs .",unnecessary
179,1409874378494464005t,Ready for the Nursing Home or Real World ‘ Neo ’ on the ‘ Red Pill ? Or Time to Retire for a Re - Read of Michel Montaigne ?  #COVID - 19 #Michael #Yeadon #mRNA #Pfizer #Totalitarianism ,none
1795,1374062762897330184t, That literally makes no sense considering 99 % of vaccine ingredients are carcinogens .,ingredients side-effect
535,1314460988733714432t, Scientists employed by Big Pharma telling us how great Big Pharma is and how we need Big Pharma to truly get over a virus with a less than 1 % kill rate ? Ridiculous ! Why won ’ t it be fact checked as fake news ?,pharma unnecessary
9086,1377330840682782721t,I really do see both sides with this vaccine conversation . My man said niggas was passing out after getting the Pfizer vaccine at his job & I just don ’ t think I wanna sign up to be a guinea pig ...,side-effect
3998,1323249806094049282t," Please beware of the Moderna vaccine which the US Gov't in cahoots with Dr Bill Gates are trying to put on the American people , especially the luciferous ! ! !",pharma political
6117,1451530447985516564t," #Pfizer can pay for each child given a vaccination a Cardiac Echocardiogram after each vaccination , and every parent will need the rights to have long term care paid for there child by #Pfizer . 1125 kids is not a trial , USA made disaster , will cost millions lives ",pharma side-effect
8277,1365392785621323776t,"  I'm not anti vaccine I'm anti this "" vaccine "" not just because I dont trust it but the agenda behind it too .",none
5483,1304285026977083392t,Are we the only country where everyone is required to wear masks and face shields everywhere because the government ’ s response has nothing to do with controlling the spread but more on the lines of ( 1 ) waiting it out until we get herd immunity and that ( 2 ) sketchy Russian vaccine .,country unnecessary
1564,1354272561157337088t,23 Die in Norway After Receiving Pfizer CCP Virus Vaccine  via ,side-effect
6555,1334926675902074884t,"Things I will do to avoid the covid vaccine . ( Voor jy in jou panty poef , ek is nie anti vaccine nie . Net anti covid bullshit . )",none
869,1338917381981302789t,"    It's de facto unblinded for many participants : People who received the vaccine were much more likely to develop a local reaction at the injection spot than those without , and also more likely to develop to develop a fever , chills , fatigue etc .",side-effect
4350,1373438067550400515t,"     Sorry , these are the rules you set now . If someone died and they were covid positive , that ’ s a covid death . It ’ s only rational that someone who dies after receiving one of the vaccines died from the vaccine . I ’ m playing your game now , babe .",side-effect
