,ID,text,labels
2560,1377007498322968576t,More people are dying after takings these corona jabs .. I heard you can ’ t travel without a jab or go to a club 😬 what ’ s your thoughts on the vaccine ? ? 🐾,mandatory
2927,1414568071285641219t," Pfizer is a massive Pharmaceutical company which makes huge profits from its * very expensive * #CoVID_19 vaccine . - It isn't likely to put that position at risk by publishing critical data - It pushes a lot of data that discredit rivals - Trial data are "" sketchy "" & incomplete",pharma
6274,1334635050332205056t,        WHY LEGAL PROTECTION GIVEN TO PFIZER IF GOV AND ALL TV PROGRAMMES TELLING TO PUBLIC THIS VACCINE IS SAFE ? ? #CNN #bbqt ,pharma
7894,1354912343629705218t,"And people think we all vaccinate once & everything goes back to normal . Lol . This is just the beginning , the new normal will be frequent vaccination shots . If it's done for Corona , why not for the next "" pandemic """,conspiracy ineffective
8750,1340603509134274560t," Moderna never succussfully brought a product to market , the leading financial supporters have already cashed in their shares . Do you trust it . ? Nah Ill take my chances ty .",pharma
3568,1377313857262264324t,    I'm for the vaccine ' ' but not for Vaccine passport or medical cards makes no sense what to stop people whom choose not to vaccinate its there choice do you think honestly that Occupant of White House and his staff of Bozo's allowing 10 of thousands of so called children andTEENS,mandatory
6596,1412486223940161542t," They already exist . Delta reduces Pfizer's "" 95 % effective "" rating to 60 % - * at best * ... many people dont develop full protection from any vaccine , so wont achieve anything like 60 % vs Delta . Delta + ( India ) is more resistant , so are others Covid "" swaps "" strengths between variants",ineffective
7106,1324480719628980229t,   I'm not a Covid denier . I know what could happen to the NHS . What is the plan to get us out of this hell ? A vaccine is NOT a plan .,rushed
3349,1244898862516654080t, The last time I saw a Dr was in 1993 why will I need a vaccine .. Badlalele kude nami,none
938,1365812208148561925t,"Idk why Johnson & Johnson thought they vaccine was valid . Mffff you make lotion , tf yk about RNA ? ! ? !",ineffective
6940,1344738952096440320t,"  Why did pfizer bother with clinical trials then , if the UK authorities are going to mess about with the parameters after the fact , anyway ? I understand the logic , but it doesn't detract from the fact they are using the vaccine in an untested and unapproved manner .",rushed
7911,1291657231709216769t,COVID IS REALLY AN INTELLIGENCE TEST HOW CAN ANYBODY BE STUPID ENOUGH TO THINK OVERNIGHT EVERYBODY IN THE ENTIRE WORLD IS SICK & NEEDS TESTING MASKS & VACCINES ? MOST PEOPLE WHO TEST POSITIVE FEEL FINE & ARE NOT SICK WHAT A FEAR PSYOP ON HUMAN RACE EVERYONE IS BRAINWASHED SO SAD ,mandatory
9384,1355090817866723329t,"   Invalid ad hominen argument . Back to the question at hand . The main point is this . If you decide to have Pfizer and BioNTech ’ s experimental mRNA - based BNT 162b2 ( BNT ) vaccine , or any other claimed COVID 19 vaccine for that matter , you are a test subject in a drug trial .",rushed
8636,1338192029092864004t,"  I agree CJ is abusing his oath of office as active Judge in a secular country that should stand neutraul against all sort of religious dogma . Having said , I also don't want that Covid vaccine anywhere near me or my family they can start in Europe we'll observe & wait after 1 year",religious rushed
6569,1335106400457003008t,"Top story : BREAKING : Moderna ’ s mRNA coronavirus vaccine caused serious injury in 20 % of patients in high dose group , requiring medical intervention – Dr . Eddy Bettermann MD  , see more ",side-effect
5200,1336220644917309441t,"  Pfizer have also confirmed they don ’ t know the impact of the vaccine on fertility ! So anybody under 50 would be ill advised to take the Pfizer vaccine . Plus restrictions will stay cause it doesnt stop the spread . Immunity passports / controlling us , is what this is all about .",ineffective mandatory side-effect
5413,1355981243486072834t," That's okay , knowing their devious minds , the vaccine is most likely the one that kills from Bill Gates lab .",pharma side-effect
3593,1364005418989674498t, Pretty sad that you need to push the miracle vaccine so hard because no one wants it . Another spectacular Covid fail ! 👏,none
4157,1375210940933672968t,I do not believe vaccinated immunity is better then natural immunity and NOBODY who has had the virus already should be vaccinated . I do believe that those who have not had COVID in at risks groups should consult with their doctor about getting vaccinated .,unnecessary
6825,1287759062965391361t," If so many people are able to resist getting ill when exposed to the virus , obviously their immune systems can clear it without it affecting them . So what good will a vaccine be , to them ? ( If it only boosts immunity ) . ( 1 )",unnecessary
3742,1368665397164208131t,   Everyone who takes the oxford vaccine ends up sick for a week and paralysis in the left arm for a couple of days,side-effect
208,1354062326115143681t,   50M people vaccinated worldwide . You ’ re proposing 1.2 - 1.4 M “ permanent side effects ” from that ? You think that might be just a bit more noticeable ? You might need to link to the CDC source document .,side-effect
2750,1287993613738098688t,"Big Pharma killing thousands by suppressing Hydroxychlorine use as an interim remedy , so they can make billions when they finally come up with a vaccine .",pharma
6648,1261991134609371137t,"COVID - 19 is not a natural virus . It is man made with sections of other virii in its RNA . Including H1N1 . "" Survival of the fittest "" means those that adapt best , survive . "" Strength "" has nothing to do with it . Dont assume a vaccine is the answer . Research the SARS vaccine history .",side-effect
1494,1334595138132324360t, Pfizer were fined $ 2.3 B in 2009 ( biggest fine in healthcare history ) for marketing 4 of its drugs for off label use . Fined £ 84.2 M for overcharging the NHS in 2016 . You really expect people to take a vaccine made by them when they also have a liability waiver from damages ! ! !,pharma
7519,1302328082066440195t," There will be no truly effective Covid vaccine either , flu vaccines are hard .",ineffective
5481,1336032616047390720t," You do realise people CANNOT give informed consent because all the facts have not been given , where does it state on this form that the effects on fertility are not know ? You are lying to people is this why pfizer want legal protection ?",side-effect
7433,1253812242778210305t,"  I will never , never be caught getting a so - called "" vaccine "" from your shady , corrupt company . No thanks .",none
8070,1262111463436582917t,"  There has never been a successful Corona virus vacine even though millions have been spent on it , especially after SARS and MERS . And now they are short cutting testing . People receiving this vaccine will be guinea pigs for an industry with 100 % liability protection .",ineffective
7748,1375138818202943494t,"In other words , the "" vax "" probably will not be effective long term . They should've been working on a treatment pharmaceutical a year ago , in tandem with a vax . Pfizer begins phase 1 study of oral COVID - 19 treatment drug ",ineffective
5618,1283386026845708293t," If the end game is / was protect the NHS / save lives then clearly that has been accomplished already . I fear that the end game insofar as Govt / pharma is concerned isn't hospital admissions / deaths , but actually the vaccine for #Covid NHS / protecting lives appears secondary ?",pharma side-effect
797,1352187244707082241t,"Covid 19 Pfizer vaccine causes covid 19 . OMG WTF unbelievable ! ! 🤣 🤣 🤣 😅 🤣 😅 🤣 😇 🤣 Israel : Over 12000 people test positive for COVID - 19 after receiving Pfizer vaccine , World News |  ",ineffective
9724,1327746166776324097t,  Not strictly true . Pharmaceutical companies often negotiate immunity from prosecution for vaccine injury . Astra Zeneca has negotiated this for their Covid vaccine,side-effect
4757,1364324630215843845t,"   In the case of the early covid vaccines , they were not tested for prevention of severe symptoms , or transmission . Asymptomatic transmission proved invalid by Chinese 10M person study . Trial records show vaccine gave people covid symptoms , but not during test evaluation window .",ineffective rushed
8864,1303190612787650561t,"   These goons don ’ t wanna contain COVID they wanna spread it . More sick people = more high margin PPE , more VEKLURY ( remdesivir ) doses $ 3200 , and ultimately the very expensive Oxford vaccine . Criminal neglect and the Executive Pardoners . Imagine the crimin ’ Gianforte will pardon .",conspiracy pharma
5646,1336634095422468098t, First specific safety issues of Pfizer / BioNTech vaccine too . ,side-effect
4490,1358907280813662210t, It ’ s not just Johnson who attempts to rubbish any criticism of the narrative . Those who question the PCR test are labelled Covid deniers . Those who question the vaccine are called anti - Vaxxers . Those who question  are titled covidiots . Easier to dismiss than engage,none
8497,1328320841294213120t, It's time to Expose the Truth about Covid 19 and to Rage Against The Mandatory Vaccines ! ,mandatory
2089,1297908877909008385t,"  Oh Tim .. Nothing could be farther from the truth . I am so scared of where this is going .. We are being prepped for a Vaccine .. with little testing .. and a horrible agenda attached . There are cheaper ways of dealing with the problem , which have been discounted .",rushed
8568,1333401745431568386t,"Right now , the only vaccine I would trust is Pfizer ’ s bc they announced first . But I really don ’ t trust any of them . Not being anti vax , it ’ s how fast they want them marketed that scares me .",pharma rushed
7296,1334125708059271170t,"Oh look everyone , the  Chief Executive June Raine wants you to believe the Pfizer vaccine is safe but curiously , comments are turned off . ",conspiracy
1326,1377335887822946307t," Oh , it's worse than that . If you get the vaccine , you're more likely to be asymptomatic if you DO get the Rona . Therfore , the vaccinated are MORE dangerous .",ineffective side-effect
6584,1326645170859876353t,"Dear Pfizer , Since we all know this covid nonsense has everything to do with generating revenue and nothing to do with safety ( at best , at worst who the fuck knows what the drug does ) , why not just give us an option of $ 50 payment to exempt out of your asylum nightmare .",pharma
8604,1338636106644955137t," Mr O'toole , I understand that you already had Covid - 19 . So why would you risk getting the vaccine ? You are immune , or at least as immune the vaccine will make you . We have no idea how long the vaccine effectiveness lasts , but it is usually similar to natural immunity .",ineffective unnecessary
2970,1338441720791502850t,"       And with people start getting sick and dying at a greater rate because this vaccine was rushed , who are you going to blame probably Donald Trump as usual .",rushed side-effect
1836,1368527251709497351t,   It's for depopulation . Professor John Bell of Oxford Astra Zenica admitted that 60 - 70 % of people taking it will become sterile and once you take the vaccine you can't be unvaccinated .,conspiracy side-effect
7030,1406786047338369025t, 50 % more people have died from the AZ vaccine in Australia than covid in 2021 Australia should always have set age for AstraZeneca at 60 + or 65 + . You all put money before the health and safety of millions of Australians . The evidence was there and you chose to ignore it,side-effect
2383,1232814093146480640t, A vaccine will be ready fairly soon ? He doesn ’ t know what he ’ s talking about .,rushed
442,1443616112961331213t,"JOHNSON & JOHNSON EXPOSED NEWS : VIDEO REPORTS ... by Hunter Bradford •  • September 29 , 2021 8 Comments Employees advise against company's vaccine ",pharma
5487,1364498885918490625t," Nobody should be ' testing children ' for #covid unless very ill . They have 0.00005 % risk from it . Concentrate on getting vulnerable & high risk ' vaccinated ' ( 2Doses ) so they have protection from exposure . + 99.9999 % of children will recover & build natural immunity . No masks , no SD",unnecessary
9264,1293485547319627777t,"I dk if this Russian "" vaccine "" will make it here or not . Trump will try to get it on the shelves tho . Please , dont take this ! ! !",country
12,1370296726058270721t,"clots in patients who received the vaccine , including at least one case in Denmark where the patient died . More countries have followed Denmark by suspending approval of the AstraZeneca - Oxford COVID vaccine . Switzerland , Austria , Iceland , Norway , Denmark , Estonia , Lithuania , -",side-effect
7287,1342610560198709248t,try to get the banned info :  :/ / health impact news . com / 2020 / doctors - around - the - world - issue - dire - warning - do - not - get - the - covid - vaccine /,none
8144,1334262599437996033t,Coronavirus vaccine : Pfizer given protection from legal action by UK government | The Independent If it ’ s so safe - what do they need that for ? ,pharma side-effect
1,1244766685359271937t,All I know is I ain ’ t getting the vaccine . It ’ s all bs,none
6619,1325803296767045634t,     I ’ m not taking this vaccine especially not the first go round so ...,none
8814,1364286623840575490t,"Read the reports on front  educate yourself about the virus and about how we have been duped so you can make a wise decision for yourself . Decision about the vaccine is your personal responsibility not ur governments they won ’ t back anything , cant sue maker",side-effect
1867,1344242732257177600t,    Meanwhile first death due to the vaccine in Switzerland now coming out how many have not been reported ? ? ?,side-effect
4090,1373421140811657219t,"     Yes . I don ’ t wanna hear a commercial 5 years from now from a commercial law firm telling me that “ if you or a loved one received a covid vaccine in 2021 , you may be entitled to financial compensation ! ” Fuck getting any of these vaccines until we know the long term effects .",rushed
4927,1365935901252157441t,""" Informed consent "" Definition . ' Permission granted in full knowledge of the possible risks , benefits and consequences ' . This is not possible with an experimental , novel ' vaccine ' that is still in the trial phases . No long - term data . Risk & Reward . < 0 % risk for healthy < 40y . o .",rushed unnecessary
4421,1330874630349983745t,"    No one , regardless of their experience or qualifications can say what potential harm may be caused by an mRNA vaccine long - term . I'd rather get the virus ",side-effect
2785,1423721280046604292t,Sinopharm COVID vaccine available for children ages 3 to 17 in UAE  [ Extensive trials ? See 3rd paragraph . Sinopharm ... notorious for causing outbreaks . ] Feels like the whole world has gone crazy . #COVID19,rushed side-effect
