,ID,text,labels
2318,1377400484479168515t," You are aware the last time there were experimental vax that only had emergency approval , soldiers , including my spouse , were deeply sickened . Vaccine database for injuries due to Covid vax are eye opening . I'll pass thanks until we are beyond experimental & mismanagement stage .",rushed side-effect
1094,1254326827553873920t," Vaccine are useless all of them It's compromise ur system make u weak & easy prey for many diseases . My children were only vaccinated once after being born I never followed up with the vaccination calendar , never been hospitalized with my children . They eat healthy & are healthy",side-effect unnecessary
7509,1375360744741568512t,But sha I don't know why 96 years old man wan collect vaccine for . Wetin remain . If I reach 90 I'm sure I'll be looking for every way to off myself .,none
9079,1371836935098994702t, Please be warned of the deadly consequences of the covid shot from one of the best vaccine creators in the world ,side-effect
5802,1372774769355976710t,A previously healthy Swedish woman has died of blood clots in arteries and veins and major bleeding about a week after getting AstraZeneca COVID - 19 vaccine shot - Medical Products Agency 💉 🇸 🇪 #Coronavirus ,side-effect
6607,1340311022863790080t,"   For ethical reasons , nobody should be forced to take a Covid vaccine . Pro - life group urges people to reject COVID - 19 vaccine over ties to aborted fetal tissue ",ingredients mandatory
3081,1376608431356968961t,The vaccine agenda is to remove everyone's ability to ' naturally ' have children . Then the powers that be will be the only ones who can permit the artificial creation of a child . They will regulate humanities population . That is why the vaccinations are so important to them . ,conspiracy side-effect
5611,1420827512133795841t,"Latest Data Show Efficacy Of Pfizer Vaccine Falls To 84 % After 6 Months Tyler Durden's Photo BY TYLER DURDEN WEDNESDAY , JUL 28 , 2021 - 09 : 00 PM ",ineffective
3371,1338519325251170307t,Both companies are currently engaged in the ongoing COVID - 19 vaccination effort . Remember CCP is the Chinese Military Great way to Run a War Start the Virus and End your Life with Bogus Vaccine Does that make Gates and Fouche Part of the ,country
1106,1359424341130108931t,"Astrazeneca CEO says COVID vaccine should work against severe ( ignorance has no solution , what is severe ) disease Very dumb statement  via ",pharma
6245,1310069301739532288t,  Hold on . So you're saying that Pfizer is not a blood sucking corporate that's trying to push their untested vaccine into our arms ? ?,pharma rushed
1406,1126831787416662016t," The #HPV vaccine is dangerous and unproven . Teens have died from it . My daughter got sick after just one dose , and that was it for us . #RFKjr #RFK",rushed side-effect
9915,1423798333357793285t,Europe's drugs regulator on Friday concluded that cases of dizziness and tinnitus are linked to the administration of Johnson & Johnson's #coronavirus vaccine shot .  ,side-effect
9702,1300048290667347968t,"KHAZARIAN - MAFIA , RUSSIAN - MAFFIA , nazi , communist , fascist , zionist , transgender , transhuman , including yet ZERO limited to abhorrent destructive extremely dangerous agendas of low frequency radiowaves 5G radiation , Toxic genetic altering vaccines , chemtrails , fluoridation , A - 417 ",ingredients side-effect
49,1365600143957975041t,77 Thousand reactions and 200 deaths due to vaccine . ,side-effect
5232,1356236792123564035t,"If I don ’ t vaccine how can I infect those who vaccinate ? No vaccine has a 100 % efficacy . The Oxford AstraZeneca vaccine SA is getting today is only 70 % efficient , which means 30 percent of the people who get it CAN still be infected . #Wechoosevaccination #VaccineforSouthAfrica",ineffective side-effect
2785,1423721280046604292t,Sinopharm COVID vaccine available for children ages 3 to 17 in UAE  [ Extensive trials ? See 3rd paragraph . Sinopharm ... notorious for causing outbreaks . ] Feels like the whole world has gone crazy . #COVID19,rushed side-effect
3329,1407029920056807426t,A 13 year old died soon after his second shot of the Pfizer vaccine . Does anyone know if sufficient research was done before it got emergency approval for 12 - 18 ?      ,side-effect
5012,1289602126293790720t, NIH owns half of the key patents for the Covid vaccine . NIH ’ s stake in the vaccine explains why Fauci let Mederna skip animal trials . Money ! Money ! Money !,pharma rushed
